Chloride,Nitrate,Sulfate,Sodium,Potassium,Magnesium,Calcium,Site,,
6.591794503,0.634875163,5.718037605,6.111226246,2.328467747,2.578062869,7.863843099,BS05,,
6.512447477,0.666798859,6.194166578,6.505491148,2.433607828,2.89215646,8.453078891,BS06,,
6.18272608,0.441638433,5.139306075,5.97678453,1.945848564,3.18390955,7.01876119,BS07,,
6.140755074,0.966733739,4.111831965,5.167089057,1.718464893,2.040077061,4.831441956,BS08,,
6.109043595,0.784528896,5.6670066,6.336678388,2.067400091,2.374741242,7.090084623,BS09,,
6.38180282,0.796142097,6.127031141,6.145770662,2.223424092,3.074888486,8.283833631,BS10,,
7.147268823,0.834919396,15.56454999,9.566714445,2.350152521,5.070362697,15.35800572,BS11,,
2.885670818,0.096568075,5.333451189,3.928723149,2.036530295,5.777943148,8.902485901,BS12,,
5.985200938,0.806139279,6.317242315,6.72692958,2.402435467,2.371985094,6.250493666,BS13,,
5.365275905,0.799852544,5.048117894,5.274618726,2.188183439,2.388983119,6.863994203,BS14,,
5.857277685,0.710659694,6.392341986,6.521423581,2.3476017,2.653133659,7.177689254,BS15,,
2.937298473,0.170273925,4.691294296,4.225108094,1.905938194,6.724201103,10.20708908,BS16,,
9.570593006,0.770832751,18.04328714,9.57397212,3.163450557,5.177968429,16.22802009,BS17,,
12.76879361,1.360278095,18.78620502,12.72685503,4.061330449,4.761025638,18.60136093,BS18,,
6.329453535,0.572168809,10.30430121,6.65565732,3.23154547,2.729055685,9.922332869,BS01,,
5.388414891,0.254827852,7.366778922,5.677271738,3.638404461,3.999956623,11.02230436,BS02,,
6.800670916,0.588472353,11.735731,7.473410613,3.311777537,2.883125521,11.20998661,BS03,,
7.458076803,0.575053042,13.18607595,8.054453742,3.250038551,2.977381832,12.06596055,BS04,,
3.804713477,0.456649366,4.878166818,3.658845414,2.437665575,1.723396238,6.103597745,BS05,,
4.318374748,0.517699488,5.468943058,4.473231712,2.702519194,2.142427538,7.020985097,BS06,,
6.230322907,0.35103251,4.732447962,6.567238436,2.137237988,3.526572259,7.984863384,BS07,,
6.314582248,0.947478581,4.089129508,5.836292293,1.887646361,2.225234859,5.335603105,BS08,,
4.154357716,0.565641512,5.237705774,4.405878736,2.360310968,1.678190231,6.183814309,BS09,,
4.701637001,0.601434143,5.849458101,4.598878481,2.37246484,2.382848706,7.542393807,BS10,,
6.998591702,0.825620824,17.98417821,9.327645884,2.91552585,5.499662986,21.07038649,BS11,,
2.206795243,0.093960329,4.758557067,2.755472511,2.121856508,4.320571007,7.122700317,BS12,,
5.572555421,0.606229065,6.488637011,6.22393943,2.937347175,2.479268761,7.318087531,BS13,,
5.300623825,0.734632049,5.408159828,5.523044465,2.318437233,2.390191775,7.026912591,BS14,,
5.341415512,0.544773398,6.670229208,5.919907715,2.741691316,2.59984874,7.647687814,BS15,,
2.329287209,0.152583738,4.595185043,3.09688253,1.975103061,4.961496819,7.705714812,BS16,,
8.72819103,0.383623006,14.23851418,9.233250794,3.08831371,2.762911582,11.81228299,BS17,,
10.21564327,0.253825422,15.05808702,11.08155203,3.24507538,1.709484556,10.30629578,BS18,,
5.328592727,0.760516654,11.37725938,5.900950898,4.180403531,3.480234959,10.64035661,BS01,,
3.570074173,0.321454798,6.778619748,3.865073837,2.585248089,2.819338035,8.327369326,BS02,,
4.70399666,0.58679433,2.974715684,4.476519381,2.668641721,2.360096265,6.847761741,BS03,,
4.030511992,0.510998334,3.126000826,3.81788431,2.41324011,2.270761185,6.730757527,BS04,,
5.779056977,0.553735522,5.041565194,5.2916067,2.413552922,2.288291005,6.800866628,BS05,,
5.670424585,0.704670884,0.186139717,5.968807895,3.198914856,2.654021357,8.072582408,BS06,,
4.710032129,0.22553081,3.752341367,4.532021802,1.454407299,2.689126858,7.189204127,BS07,,
6.428169337,0.933101163,3.857847305,5.411888916,1.681740197,2.069176332,4.726255804,BS08,,
5.829118837,0.761566606,5.200746778,5.935252201,1.924290439,2.268075353,6.764235499,BS09,,
5.043809116,0.695686821,1.321114289,4.624292768,2.445021779,2.506056519,6.165764182,BS10,,
